method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.001,True,sample10.pathological.fa,pathological,0.09926592,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample01.functional.fa,functional,-0.03832559,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample02.functional.fa,functional,-0.03810901,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample03.functional.fa,functional,-0.04154065,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample04.functional.fa,functional,-0.03598919,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample05.functional.fa,functional,-0.04222874,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample06.pathological.fa,pathological,0.09819761,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample07.pathological.fa,pathological,0.10276399,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample08.pathological.fa,pathological,0.10087636,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample09.pathological.fa,pathological,0.10231068,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.01,True,sample10.pathological.fa,pathological,0.09941968,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample01.functional.fa,functional,-0.03819213,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample02.functional.fa,functional,-0.03798889,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample03.functional.fa,functional,-0.04141305,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample04.functional.fa,functional,-0.03579643,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample05.functional.fa,functional,-0.04220493,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample06.pathological.fa,pathological,0.09956781,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample07.pathological.fa,pathological,0.10425053,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample08.pathological.fa,pathological,0.10241280,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample09.pathological.fa,pathological,0.10392185,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,0.1,True,sample10.pathological.fa,pathological,0.10089307,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample01.functional.fa,functional,-0.03756194,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample02.functional.fa,functional,-0.03742788,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample03.functional.fa,functional,-0.04080345,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample04.functional.fa,functional,-0.03471779,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample05.functional.fa,functional,-0.04225938,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample06.pathological.fa,pathological,0.10940088,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample07.pathological.fa,pathological,0.11485824,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample08.pathological.fa,pathological,0.11337085,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample09.pathological.fa,pathological,0.11543735,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.001,1.0,True,sample10.pathological.fa,pathological,0.11141212,clear
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.01,0.001,True,sample01.functional.fa,functional,-0.03856315,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.01,0.001,True,sample02.functional.fa,functional,-0.03843352,possibly_misplaced
